id	display	issn
AK00003066	Hofmannsthal-Blätter : Veröffentlichungen der Hugo von Hofmannsthal-Gesellschaft Frankfurt am Main : [Bibliographie enthalten]	0441-6813
AK00003071	Humanismus und Technik : Jahrbuch	0439-884X
AK00003074	[Jahrbuch / Bayerische Akademie der Wissenschaften] Jahrbuch	0084-6090
AK00003076	Jahrbuch / Deutsche Akademie für Sprache und Dichtung	0070-3923
AK00003080	Jahrbuch	0080-5262
AK00003081	Jahrbuch ... / Akademie der Wissenschaften und der Literatur Mainz	0084-6104
AK00003082	Jahrbuch der Albertus-Universität zu Königsberg, Pr	0075-2177
AK00003093	Vergessene Autoren der Moderne	0177-9869
AK00003093	Vergessene Autoren der Moderne	0177-9869
AK00003094	Jahrbuch der Droste-Gesellschaft : westfälische Blätter für Dichtung und Geistesgeschichte	0341-9134
AK00003099	Jahrbuch der Schlesischen Friedrich-Wilhelms-Universität zu Breslau	0448-1348
AK00003100	Jahrbuch für internationale Germanistik	0449-5233
AK00003101	Jahrbuch für Geschichte	0448-1526
AK00003111	Jahrbuch des Wiener Goethe-Vereins	0250-443X
AK00003114	Jahrbuch des Freien Deutschen Hochstifts	0071-9463
AK00003116	Jahrbuch der Jean-Paul-Gesellschaft	0075-3580
AK00003118	Jahrbuch für brandenburgische Landesgeschichte : JBLG	0447-2683
AK00003119	Literaturwissenschaftliches Jahrbuch / Görres-Gesellschaft	0075-997X
AK00003131	Jahrbuch der Raabe-Gesellschaft	0075-2371
AK00003136	Jahrbuch der Deutschen Schillergesellschaft : internationales Organ für neuere deutsche Literatur : [Bibliographie enthalten]	0070-4318
AK00003137	Statistisches Jahrbuch für die Bundesrepublik Deutschland	0081-5357
AK00003139	Statistisches Jahrbuch der Deutschen Demokratischen Republik	0323-4258
AK00003140	Jahrbuch	0081-5551
AK00003146	Jahrbuch des Vereins für Niederdeutsche Sprachforschung	0083-5617
AK00003149	Jahrbuch für ostdeutsche Volkskunde	0075-2738
AK00003152	Jahrbuch für Volksliedforschung	0075-2789
AK00003158	Württembergisches Jahrbuch für Volkskunde	0510-9817
AK00003159	Jahrbücher für Geschichte Osteuropas : JBfGOE	0021-4019
AK00003161	Heidelberger Jahrbücher	0073-1641
AK00003163	Neue Heidelberger Jahrbücher	0179-0773
AK00003165	Studien und Dokumente zur Geschichte der romanischen Literaturen	0170-9208
AK00003165	Studien und Dokumente zur Geschichte der romanischen Literaturen	0170-9208
AK00003171	Jahresbericht der Deutschen Staatsbibliothek	0409-1361
AK00003174	Jahresbericht	0340-2274
AK00003178	Jahresgabe / Klaus-Groth-Gesellschaft	0453-9842
AK00003179	Jahresring : Jahrbuch für moderne Kunst	0448-1631
AK00003180	Illustration 63 : Zeitschrift für die Buchillustration	0019-2457
AK00003181	Imprimatur : ein Jahrbuch für Bücherfreunde	0073-5620
AK00003182	Journal of the history of ideas : JHI is published quarterly by the Univ. of Pennsylvania Press	0022-5037
AK00003183	The journal of Germanic philology	0364-2968
AK00003185	Handbuch der publizistischen Praxis ...	0436-7510
AK00003187	Kant-Studien : philosophische Zeitschrift der Kant-Gesellschaft	0022-8877
AK00003188	Evangelische Kommentare : EVKOMM ; Monatsschrift zum Zeitgeschehen in Kirche und Gesellschaft	0300-4236
AK00003189	Forum book art : Kompendium zeitgenössischer Handpressendrucke, Malerbücher, Künstlerbücher, Einblattdrucke, Mappenwerke und Buchobjekte	0935-7629
AK00003192	Journal of English and Germanic philology : JEGP	0022-0868
AK00003192	Journal of English and Germanic philology : JEGP	0363-6941
AK00003193	Kommunität : Vierteljahreshefte der Evangelischen Akademie. Hrsg. für den Freundeskreis der Evangelischen Akademie Berlin-Brandenburg	0023-3137
AK00003194	[Konkret <Hamburg>] Konkret : Politik und Kultur	0023-3528
AK00003195	Kompendium zeitgenössischer Handpressendrucke : lieferbare Bücher, Mappenwerke, Einblattdrucke, Malerbücher und Buchobjekte ; Neuerscheinungen	0935-7629
AK00003196	Der Convent : akademische Monatsschrift	0414-8673
AK00003198	Belser-Kunstquartal : Vorschau auf Kunstausstellungen d. In- u. Auslandes ; mit Mitteilungen d. Kunstvereine Berlin, Braunschweig, Düsseldorf, Essen, Hamburg, Hannover, Heidelberg, Köln, Krefeld, Münster, Stuttgart u. d. Kestner-Gesellschaft Stuttgart	0947-8701
AK00003199	Der Kranich : ein Jahrbuch für die dramat., lyrische u. epische Kunst	0454-5044
AK00003200	Kürbiskern : Literatur, Kritik, Klassenkampf	0023-5016
AK00003204	"Deutsche Kunst und Denkmalpflege : Jg. ... der ""Zeitschrift für Denkmalpflege"" - Jg. ... der Zeitschrift ""Denkmalpflege und Heimatschutz"""	0012-0375
AK00003205	Kunstchronik : Monatsschrift für Kunstwissenschaft, Museumswesen und Denkmalpflege ; Mitteilungsblatt des Verbandes Deutscher Kunsthistoriker	0023-5474
AK00003206	Das Kunstwerk : Zeitschrift für moderne Kunst	0023-561X
AK00003207	Kursbuch	0023-5652
AK00003208	Kwartalnik neofilologiczny	0023-5911
AK00003209	Modern languages : journal of modern studies	0026-7945
AK00003212	Les langues modernes : revue et bulletin de l'Association des Professeurs des Langues Vivantes de l'Enseignement Public	0023-8376
AK00003214	Lenau-Forum : Vierteljahresschrift für vergleichende Literaturforschung	0024-0788
AK00003216	Lessing yearbook = Lessing Jahrbuch	0075-8833
AK00003217	Librarium : Zeitschrift der Schweizerischen Bibliophilen-Gesellschaft	0024-2152
AK00003219	German life and letters	0016-8777
AK00003220	Linguistik und Didaktik	0047-472X
AK00003222	Literatur und Kritik	0024-466X
AK00003223	Neue deutsche Literatur : ndl ; Zeitschrift für deutschsprachige Literatur und Kritik	0232-1602
AK00003223	Neue deutsche Literatur : ndl ; Zeitschrift für deutschsprachige Literatur und Kritik	0028-3150
AK00003224	Philosophischer Literaturanzeiger : ein Referateorgan für die Neuerscheinungen der Philosophie und ihrer gesamten Grenzgebiete	0031-8175
AK00003225	Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft	0012-043X
AK00003226	Berliner Hefte zur Geschichte des literarischen Lebens	0949-5371
AK00003228	Lyrik aus dieser Zeit	0460-0746
AK00003229	Maske und Kothurn : internationale Beiträge zur Theater-, Film- und Medienwissenschaft : [Bibliographie enthalten]	0025-4614
AK00003229	Maske und Kothurn : internationale Beiträge zur Theater-, Film- und Medienwissenschaft : [Bibliographie enthalten]	0025-4606
AK00003230	Die politische Meinung	0032-3446
AK00003231	Merkur : deutsche Zeitschrift für europäisches Denken	0026-0096
AK00003232	Mickiewicz-Blätter	0544-0084
AK00003235	Mitteilungen aus dem wissenschaftlichen Bibliothekswesen der Deutschen Demokratischen Republik	0043-6763
AK00003238	Mitteilungen der E.-T.-A.-Hoffmann-Gesellschaft, Sitz in Bamberg	0073-2885
AK00003240	Mitteilungen des Deutschen Germanisten-Verbandes	0418-9426
AK00003240	Mitteilungen des Deutschen Germanisten-Verbandes	0012-1061
AK00003244	Bibliographie der Buch- und Bibliotheksgeschichte : BBB : [Bibliographie]	0723-3590
AK00003245	Bibliographie der deutschsprachigen Frauenliteratur : Belletristik, Sachbuch, Gender studies : [Bibliographie]	0940-0124
AK00003245	Bibliographie der deutschsprachigen Frauenliteratur : Belletristik, Sachbuch, Gender studies : [Bibliographie]	0949-0124
AK00003247	Der Blaue Reiter : Journal für Philosophie	0947-6563
AK00003250	Mitteilungen	0038-8866
AK00003253	Modern language quarterly : a journal of literary history ; MLQ	0026-7929
AK00003254	Gewerkschaftliche Monatshefte	0016-9447
AK00003256	AKMB-News : Informationen zu Kunst, Museum und Bibliothek	0949-8419
