id	display	zdb
AK00003198	Belser-Kunstquartal : Vorschau auf Kunstausstellungen d. In- u. Auslandes ; mit Mitteilungen d. Kunstvereine Berlin, Braunschweig, Düsseldorf, Essen, Hamburg, Hannover, Heidelberg, Köln, Krefeld, Münster, Stuttgart u. d. Kestner-Gesellschaft Stuttgart	129512-3
AK00003199	Der Kranich : ein Jahrbuch für die dramat., lyrische u. epische Kunst	3261-x
AK00003200	Kürbiskern : Literatur, Kritik, Klassenkampf	3274-8
AK00003201	Kultus und Unterricht : Amtsbl. d. Ministeriums für Kultus und Sport Baden-Württemberg	3280-3
AK00003204	"Deutsche Kunst und Denkmalpflege : Jg. ... der ""Zeitschrift für Denkmalpflege"" - Jg. ... der Zeitschrift ""Denkmalpflege und Heimatschutz"""	3281-5
AK00003205	Kunstchronik : Monatsschrift für Kunstwissenschaft, Museumswesen und Denkmalpflege ; Mitteilungsblatt des Verbandes Deutscher Kunsthistoriker	3285-2
AK00003206	Das Kunstwerk : Zeitschrift für moderne Kunst	3286-4
AK00003207	Kursbuch	3287-6
AK00003208	Kwartalnik neofilologiczny	3290-6
AK00003209	Modern languages : journal of modern studies	3314-5
AK00003210	Modern language teaching : the official organ of the Modern Language Association	983871-5
AK00003212	Les langues modernes : revue et bulletin de l'Association des Professeurs des Langues Vivantes de l'Enseignement Public	3315-7
AK00003213	Lenau-Almanach	3339-x
AK00003214	Lenau-Forum : Vierteljahresschrift für vergleichende Literaturforschung	3340-6
AK00003216	Lessing yearbook = Lessing Jahrbuch	3342-x
AK00003217	Librarium : Zeitschrift der Schweizerischen Bibliophilen-Gesellschaft	3358-3
AK00003219	German life and letters	3376-5
AK00003220	Linguistik und Didaktik	3383-2
AK00003222	Literatur und Kritik	3400-9
AK00003223	Neue deutsche Literatur : ndl ; Zeitschrift für deutschsprachige Literatur und Kritik	3401-0
AK00003224	Philosophischer Literaturanzeiger : ein Referateorgan für die Neuerscheinungen der Philosophie und ihrer gesamten Grenzgebiete	3404-6
AK00003225	Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft	3416-2
AK00003226	Berliner Hefte zur Geschichte des literarischen Lebens	1359127-7
AK00003228	Lyrik aus dieser Zeit	3431-9
AK00003229	Maske und Kothurn : internationale Beiträge zur Theater-, Film- und Medienwissenschaft : [Bibliographie enthalten]	3455-1
AK00003230	Die politische Meinung	3477-0
AK00003231	Merkur : deutsche Zeitschrift für europäisches Denken	3494-0
AK00003232	Mickiewicz-Blätter	3504-x
AK00003233	Ärztliche Mitteilungen : deutsches Ärzteblatt	3527-0
AK00003235	Mitteilungen aus dem wissenschaftlichen Bibliothekswesen der Deutschen Demokratischen Republik	3541-5
AK00003238	Mitteilungen der E.-T.-A.-Hoffmann-Gesellschaft, Sitz in Bamberg	3547-6
AK00003240	Mitteilungen des Deutschen Germanisten-Verbandes	3554-3
AK00003241	Mitteilungen der Grabbe-Gesellschaft, Detmold	3568-3
AK00003243	Die Beute : die Halbjahresschrift für Politik und Verbrechen	1191268-6
AK00003244	Bibliographie der Buch- und Bibliotheksgeschichte : BBB : [Bibliographie]	797436-x
AK00003245	Bibliographie der deutschsprachigen Frauenliteratur : Belletristik, Sachbuch, Gender studies : [Bibliographie]	1287782-7
AK00003247	Der Blaue Reiter : Journal für Philosophie	1226884-7
AK00003248	Buch & Bild : Magazin für Buch- und Graphiksammler	1407153-8
AK00003250	Mitteilungen	3608-0
AK00003252	Mitteilungen des Vereins für die Geschichte Berlins	3615-8
AK00003253	Modern language quarterly : a journal of literary history ; MLQ	3643-2
AK00003254	Gewerkschaftliche Monatshefte	3650-x
AK00003255	Schweizerische Monatshefte für Politik und Kultur	3653-5
AK00003256	AKMB-News : Informationen zu Kunst, Museum und Bibliothek	1285745-2
AK00003257	Germanisch-romanische Monatsschrift : GRM	3658-4
AK00003258	Mosaic : a journal for the interdisciplinary study of literature	3669-9
AK00003259	Das Münster : Zeitschr. für christl. Kunst u. Kunstwissenschaft	3673-0
AK00003260	Muttersprache : Vierteljahresschrift für deutsche Sprache	3687-0
AK00003261	Almanach	1361468-x
AK00003262	Nobis : das freie u. unabhängige Organ d. Mainzer Studenten	3748-5
AK00003266	Paian : Zeitschrift für Dichtung	3828-3
AK00003267	Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. - Sectio philologica moderna	3867-2
AK00003269	[Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae / Sectio linguistica] Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae	3869-6
AK00003270	Pressespiegel der Sowjetzone : aus Zeitungen u. Zeitschr. hinter d. Eisernen Vorhang	3975-5
AK00003274	Aachener Prisma	3981-0
AK00003276	Publikationenverzeichnis zu den von der Deutschen Forschungsgemeinschaft geförderten Forschungsvorhaben : im Jahre ... vorgelegte Veröffentlichungen	4136-1
AK00003277	Radius : die Kulturzeitschrift zum Weiter-Denken	4170-1
AK00003278	Replik : interdisziplinäre Hefte für Kritik u. Kunst	4289-4
